"","ENTREZID","SYMBOL"
"240","239849","Cd200r4"
"241","100382","AW011738"
"242","433698","Spata31f1a"
"243","68001","Cfap298"
"244","18205","Ntf3"
"245","242202","Pde5a"
"246","75026","4930466F19Rik"
"247","319960","4930513N10Rik"
"248","69605","Lnpk"
"249","233040","Fbxo27"
"250","97664","C86544"
"251","20591","Kdm5c"
"252","22034","Traf6"
"253","230810","Slc30a2"
"254","23797","Akt3"
"255","108013","Celf4"
"256","228836","Dlgap4"
"257","58901","AI449595"
"258","73533","1700080G18Rik"
"259","69442","1700023H06Rik"
"260","74926","4930473H19Rik"
"261","96997","C80279"
"262","71033","4933406K04Rik"
"263","13238","Defa4"
"264","21673","Dntt"
"265","53814","Oaz3"
"266","15468","Prmt2"
"267","235441","Usp3"
"268","18667","Pgr"
"269","12892","Cpox"
"270","70185","2310068G24Rik"
"271","66152","Uqcr10"
"272","81601","Kat5"
"273","11668","Aldh1a1"
"274","68870","Ak8"
"275","240087","Mdc1"
"276","94352","Loxl2"
"277","66884","Appbp2"
"278","105886298","Cmc4"
"279","621549","Gm11783"
"280","16909","Lmo2"
"281","72518","2610307P16Rik"
"282","56710","Brinp1"
"283","21943","Tnfsf11"
"284","21826","Thbs2"
"285","14391","Gabpb1"
"286","269966","Nup98"
"287","72315","Ccdc74a"
"288","12164","Bmp8b"
"289","66816","Thap2"
"290","239857","Cadm2"
"291","19653","Rbm4"
"292","78286","Nav2"
"293","244281","Myo16"
"294","667373","Ifit1bl1"
"295","109700","Itga1"
"296","217887","Clba1"
"297","71270","4933438K21Rik"
"298","28006","Washc2"
"299","13532","Usp17lc"
"300","72668","Skida1"
"301","14463","Gata4"
"302","239510","Phf20l1"
"303","97600","C80283"
"304","70737","Cgn"
"305","270711","Calhm4"
"306","117109","Pop5"
"307","16151","Ikbkg"
"308","329641","Sertm1"
"309","21969","Top1"
"310","17999","Nedd4"
"311","67658","4930563F15Rik"
"312","53421","Sec61a1"
"313","20979","Syt1"
"314","54598","Calcrl"
"315","77011","Ticrr"
"316","67610","Rspry1"
"317","67210","Gatad1"
"318","116849","Il22b"
"319","78271","5330427O13Rik"
"320","83675","Bicc1"
"321","15184","Hdac5"
"322","67515","Ttc33"
"323","268345","Kcnc2"
"324","73650","2410024F20Rik"
"325","234678","Phaf1"
"326","67469","Abhd5"
"327","16765","Stmn1"
"328","108037","Shmt2"
"329","78655","Eif3j1"
"330","12914","Crebbp"
"331","17215","Mcm3"
"332","319765","Igf2bp2"
"333","13009","Csrp3"
"334","67883","Uxs1"
"335","66044","Dtd1"
"336","245944","Vps54"
"337","18992","Pou3f2"
"338","100502745","2900009J06Rik"
"339","66541","Immp1l"
"340","77619","Prelid2"
"341","545085","Wdr70"
"342","235587","Parp3"
"343","67888","Tmem100"
"344","73389","Hbp1"
"345","666185","Gm7969"
"346","20779","Src"
"347","18087","Nktr"
"348","14155","Fem1b"
"349","67826","Snap47"
"350","66656","Eef1d"
"351","14479","Usp15"
"352","74967","4930474H20Rik"
"353","74880","4930445B16Rik"
"354","50932","Mink1"
"355","102635243","Gm32633"
"356","338467","Morc3"
"357","22278","Usf1"
"358","13494","Drg1"
"359","73137","Prrc1"
"360","319922","Vwc2"
"361","13382","Dld"
"362","69453","Prss56"
"363","15936","Ier2"
"364","117590","Asb10"
"365","16319","Incenp"
"366","77987","Ascc3"
"367","74652","4930453J04Rik"
"368","97952","C77581"
"369","19387","Rangap1"
"370","78920","Dlst"
"371","73894","4930414N06Rik"
"372","67615","Ube2r2"
"373","53414","Bysl"
"374","75953","Samd7"
"375","214133","Tet2"
"376","320951","Pisd"
"377","12503","Cd247"
"378","71903","Ces2f"
"379","332397","Nanos1"
"380","240869","Zbtb37"
"381","68149","Otub2"
"382","109620","Dsp"
"383","53382","Txnl1"
"384","19353","Rac1"
"385","66460","Sys1"
"386","15494","Hsd3b3"
"387","76892","Rnft1"
"388","22214","Ube2h"
"389","74586","4833420L08Rik"
"390","320593","A230051N06Rik"
"391","76975","2900057H02Rik"
"392","69632","Arhgef12"
"393","216011","Lrrc20"
"394","109880","Braf"
"395","227333","Dgkd"
"396","101476","Plekha1"
"397","18212","Ntrk2"
"398","207686","Cfap69"
"399","69028","Mitd1"
"400","56043","Akr1e1"
"401","12557","Cdh17"
"402","54159","Rnase2b"
"403","74011","Slc25a27"
"404","93761","Smarca1"
"405","22230","Ufd1"
"406","243905","Zfp568"
"407","68529","1110019B22Rik"
"408","18747","Prkaca"
"409","239743","Klhl6"
"410","239037","Lrit1"
"411","225743","Ark2c"
"412","17248","Mdm4"
"413","330409","Cecr2"
"414","66882","Bzw1"
"415","75335","4930549O18Rik"
"416","171167","Fut10"
